path,target,prediction
./export/test/0_01td9ke3_t378.2868802055489_c1.wav,1,1
./export/test/0_01td9ke3_t1009.6631529396292_c1.wav,1,1
./export/test/0_01td9ke3_t1206.7272504260516_c1.wav,1,1
./export/test/0_01td9ke3_t1344.7929028847143_c1.wav,1,1
./export/test/0_01td9ke3_t1794.5747491514617_c1.wav,1,1
./export/test/0_01td9ke3_t1835.5020169226875_c1.wav,1,1
./export/test/0_0qy5lhqw_t132.6832137480639_c1.wav,1,0
./export/test/0_0qy5lhqw_t258.25839818819594_c1.wav,1,1
./export/test/0_0qy5lhqw_t480.604988173572_c1.wav,1,1
./export/test/0_0qy5lhqw_t673.5903067693205_c1.wav,1,1
./export/test/0_0qy5lhqw_t745.4139231749601_c1.wav,1,1
./export/test/0_0qy5lhqw_t925.576914391694_c1.wav,1,1
./export/test/0_0qy5lhqw_t1041.2101493423002_c1.wav,1,1
./export/test/0_0qy5lhqw_t1070.9895401029826_c1.wav,1,1
./export/test/0_0qy5lhqw_t1557.587572595007_c1.wav,1,0
./export/test/0_0qy5lhqw_t1576.821063663529_c1.wav,1,1
./export/test/0_0qy5lhqw_t1688.8305973983263_c1.wav,1,1
./export/test/0_0qy5lhqw_t2002.420125689444_c1.wav,1,1
./export/test/0_0qy5lhqw_t2081.9557216056505_c1.wav,1,1
./export/test/0_1ain8y8s_t681.0517936182454_c1.wav,1,1
./export/test/0_1ain8y8s_t780.2760369282905_c1.wav,1,1
./export/test/0_1ain8y8s_t822.7343507791245_c1.wav,1,1
./export/test/0_1ain8y8s_t855.6697386568502_c1.wav,1,1
./export/test/0_1ain8y8s_t895.7589343387644_c1.wav,1,1
./export/test/0_1ain8y8s_t921.0411414649312_c1.wav,1,1
./export/test/0_1ain8y8s_t984.7634522142546_c1.wav,1,1
./export/test/0_1ain8y8s_t1057.6022225841753_c1.wav,1,1
./export/test/0_1ain8y8s_t1067.8219480187304_c1.wav,1,1
./export/test/0_1ain8y8s_t1098.248857835247_c1.wav,1,1
./export/test/0_1ain8y8s_t1107.818237105785_c1.wav,1,1
./export/test/0_1ain8y8s_t1370.8832604507222_c1.wav,1,1
./export/test/0_1ain8y8s_t1424.9548986590055_c1.wav,1,1
./export/test/0_1ain8y8s_t1468.7603581353032_c1.wav,1,1
./export/test/0_1ain8y8s_t1528.638658522311_c1.wav,1,1
