semester,skema,title,ID,t
E13/F14,Skema C,Komplekse Tal del1,0_nh2pvfdd,1785.47
E13/F14,Skema C,Komplekse Tal del1,0_nh2pvfdd,1815.53
E13/F14,Skema C,Komplekse Tal del1,0_nh2pvfdd,1851.06
E13/F14,Skema C,Komplekse Tal del1,0_nh2pvfdd,300.16
E13/F14,Skema C,Komplekse Tal del1,0_nh2pvfdd,435.44
E13/F14,Skema C,Komplekse Tal del1,0_nh2pvfdd,1056.1
E13/F14,Skema C,Komplekse Tal del1,0_nh2pvfdd,1538.78
E13/F14,Skema C,Komplekse Tal del1,0_nh2pvfdd,1279.79
E13/F14,Skema C,Komplekse Tal del1,0_nh2pvfdd,1361.32
E13/F14,Skema C,Komplekse Tal del1,0_nh2pvfdd,1483.59
E13/F14,Skema C,Komplekse Tal del1,0_nh2pvfdd,1505.29
E13/F14,Skema C,Komplekse Tal del1,0_nh2pvfdd,1516.48
E13/F14,Skema C,Komplekse Tal del1,0_nh2pvfdd,1185.71
E13/F14,Skema C,Komplekse Tal Del2,0_dsb26q70,450.91
E13/F14,Skema C,Komplekse Tal Del2,0_dsb26q70,511.21
E13/F14,Skema C,Komplekse Tal Del2,0_dsb26q70,517.72
E13/F14,Skema C,Komplekse Tal Del2,0_dsb26q70,529.85
E13/F14,Skema C,Komplekse Tal Del2,0_dsb26q70,604.83
E13/F14,Skema C,Komplekse Tal Del2,0_dsb26q70,624.12
E13/F14,Skema C,Komplekse Tal Del2,0_dsb26q70,722.63
E13/F14,Skema C,Komplekse Tal Del2,0_dsb26q70,617.05
E13/F14,Skema C,Komplekse Tal Del2,0_dsb26q70,1215.29
E13/F14,Skema C,Komplekse Tal Del2,0_dsb26q70,1682.83
E13/F14,Skema C,Komplekse Tal Del2,0_dsb26q70,304.74
E13/F14,Skema C,Komplekse Tal Del2,0_dsb26q70,293.68
E13/F14,Skema C,Komplekse Tal Del2,0_dsb26q70,280.26
E13/F14,Skema C,Komplekse Tal Del2,0_dsb26q70,911.8
E13/F14,Skema C,Komplekse Tal Del 1,0_423114bb,833.76
E13/F14,Skema C,Komplekse Tal Del 1,0_423114bb,912.83
E13/F14,Skema C,Komplekse Tal Del 1,0_423114bb,1211.64
E13/F14,Skema C,Komplekse Tal Del 1,0_423114bb,1436.81
E13/F14,Skema C,Komplekse Tal Del 1,0_423114bb,1449.87
E13/F14,Skema C,Komplekse Tal Del 1,0_423114bb,520.92
E13/F14,Skema C,Komplekse Tal Del 1,0_423114bb,1526.01
E13/F14,Skema C,Komplekse Tal Del 1,0_423114bb,1781.84
E13/F14,Skema C,Komplekse Tal Del 1,0_423114bb,2245.44
E13/F14,Skema C,Komplekse Tal Del 1,0_423114bb,1960.42
E13/F14,Skema C,Komplekse Tal Del 1,0_423114bb,1791.41
E13/F14,Skema C,Komplekse Tal Del 1,0_423114bb,1463.34
E13/F14,Skema C,Komplekse Tal Del 1,0_423114bb,1709.0
E13/F14,Skema C,Komplekse Tal Del 1,0_423114bb,1513.23
E13/F14,Skema C,Komplekse Tal Del 2,0_buuuew2w,2295.04
E13/F14,Skema C,Komplekse Tal Del 2,0_buuuew2w,2188.85
E13/F14,Skema C,Komplekse Tal Del 2,0_buuuew2w,199.34
E13/F14,Skema C,Komplekse Tal Del 2,0_buuuew2w,253.42
E13/F14,Skema C,Komplekse Tal Del 2,0_buuuew2w,349.55
E13/F14,Skema C,Komplekse Tal Del 2,0_buuuew2w,591.57
E13/F14,Skema C,Komplekse Tal Del 2,0_buuuew2w,615.35
E13/F14,Skema C,Komplekse Tal Del 2,0_buuuew2w,748.82
E13/F14,Skema C,Komplekse Tal Del 2,0_buuuew2w,814.74
E13/F14,Skema C,Komplekse Tal Del 2,0_buuuew2w,1180.62
E13/F14,Skema C,Komplekse Tal Del 2,0_buuuew2w,1190.7
E13/F14,Skema C,Komplekse Tal Del 2,0_buuuew2w,1230.24
E13/F14,Skema C,Komplekse Tal Del 2,0_buuuew2w,1309.63
E13/F14,Skema C,Komplekse Tal Del 2,0_buuuew2w,1478.26
E13/F14,Skema C,Komplekse Tal Del 2,0_buuuew2w,1707.38
E13/F14,Skema C,Komplekse Tal Del 2,0_buuuew2w,1491.64
E13/F14,Skema C,Komplekse Tal Del 2,0_buuuew2w,2111.68
E13/F14,Skema C,Komplekse Tal Del 2,0_buuuew2w,1895.02
E13/F14,Skema C,Komplekse Tal Del1,0_4yunbrpb,1607.48
E13/F14,Skema C,Komplekse Tal Del1,0_4yunbrpb,1831.95
